fips:String,name:String,region:Int,division:Int,population:Int
01,Alabama,3,6,4903185
02,Alaska,4,9,731545
04,Arizona,4,8,7278717
05,Arkansas,3,7,3017804
06,California,4,9,39512223
08,Colorado,4,8,5758736
09,Connecticut,1,1,3565287
10,Delaware,3,5,973764
11,District of Columbia,3,5,705749
12,Florida,3,5,21477737
13,Georgia,3,5,10617423
15,Hawaii,4,9,1415872
16,Idaho,4,8,1787065
17,Illinois,2,3,12671821
18,Indiana,2,3,6732219
19,Iowa,2,4,3155070
20,Kansas,2,4,2913314
21,Kentucky,3,6,4467673
22,Louisiana,3,7,4648794
23,Maine,1,1,1344212
24,Maryland,3,5,6045680
25,Massachusetts,1,1,6892503
26,Michigan,2,3,9986857
27,Minnesota,2,4,5639632
28,Mississippi,3,6,2976149
29,Missouri,2,4,6137428
30,Montana,4,8,1068778
31,Nebraska,2,4,1934408
32,Nevada,4,8,3080156
33,New Hampshire,1,1,1359711
34,New Jersey,1,2,8882190
35,New Mexico,4,8,2096829
36,New York,1,2,19453561
37,North Carolina,3,5,10488084
38,North Dakota,2,4,762062
39,Ohio,2,3,11689100
40,Oklahoma,3,7,3956971
41,Oregon,4,9,4217737
42,Pennsylvania,1,2,12801989
44,Rhode Island,1,1,1059361
45,South Carolina,3,5,5148714
46,South Dakota,2,4,884659
47,Tennessee,3,6,6829174
48,Texas,3,7,28995881
49,Utah,4,8,3205958
50,Vermont,1,1,623989
51,Virginia,3,5,8535519
53,Washington,4,9,7614893
54,West Virginia,3,5,1792147
55,Wisconsin,2,3,5822434
56,Wyoming,4,8,578759
72,Puerto Rico,X,X,3193694
